transaction_id,transaction_date,transaction_time,product_id,product_name,product_category,size,quantity,unit_price,total_price,payment_method,customer_id,loyalty_points_earned,location,barista_id
1,2025-03-13,10:10:19,P302,Croissant,Bakery,NA,1,3.0,3.0,Debit Card,C624,6,Airport,EMP001
2,2024-09-26,13:13:41,P302,Croissant,Bakery,NA,1,3.0,3.0,Credit Card,C549,6,University,EMP001
3,2025-03-23,16:17:20,P302,Croissant,Bakery,NA,2,3.0,6.0,Cash,C857,0,Airport,EMP002
4,2025-05-28,16:31:54,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C402,8,Downtown,EMP004
5,2025-01-16,19:17:24,P302,Croissant,Bakery,NA,3,3.0,9.0,Credit Card,NA,0,Mall Branch,EMP002
6,2025-01-02,10:48:16,P101,Espresso,Coffee,Small,1,2.5,2.5,Debit Card,C511,3,Airport,EMP002
7,2024-09-16,20:51:57,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,NA,7,Mall Branch,EMP003
8,2024-11-19,14:17:27,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,C944,2,University,EMP001
9,2024-11-17,18:05:45,P201,Green Tea,Tea,Medium,3,2.5,7.5,Credit Card,C502,7,University,EMP002
10,2025-04-09,10:34:23,P302,Croissant,Bakery,NA,3,3.0,9.0,Credit Card,NA,9,Airport,EMP005
11,2024-12-21,20:42:07,P102,Cappuccino,Coffee,Large,2,4.0,8.0,Debit Card,C656,3,Airport,EMP002
12,2024-11-24,16:21:41,P302,Croissant,Bakery,NA,3,3.0,9.0,Credit Card,C789,5,Downtown,EMP002
13,2025-05-14,12:48:39,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C516,9,Downtown,EMP001
14,2024-10-17,19:22:30,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,C652,3,Mall Branch,EMP002
15,2025-02-11,18:53:16,P102,Cappuccino,Coffee,Small,2,3.0,6.0,Credit Card,NA,6,Mall Branch,EMP001
16,2025-05-08,12:16:37,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Credit Card,C547,5,Mall Branch,EMP004
17,2025-03-13,15:36:19,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C590,10,Mall Branch,EMP005
18,2024-09-11,15:27:29,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C720,0,Mall Branch,EMP002
19,2025-07-30,20:25:29,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C567,4,Mall Branch,EMP003
20,2024-12-15,09:20:34,P101,Espresso,Coffee,Small,2,2.5,5.0,Cash,C290,6,Mall Branch,EMP005
21,2025-03-22,17:21:46,P202,Chai Latte,Tea,Large,3,4.0,12.0,Debit Card,C784,1,Mall Branch,EMP004
22,2024-11-30,17:47:16,P302,Croissant,Bakery,NA,2,3.0,6.0,Debit Card,C930,0,Airport,EMP003
23,2025-07-01,15:19:31,P201,Green Tea,Tea,Small,3,2.0,6.0,Cash,NA,0,Downtown,EMP003
24,2025-05-18,08:56:02,P302,Croissant,Bakery,NA,1,3.0,3.0,Credit Card,NA,1,University,EMP005
25,2025-04-16,10:23:11,P201,Green Tea,Tea,Medium,2,2.5,5.0,Cash,C156,10,Airport,EMP002
26,2025-04-14,13:52:03,P201,Green Tea,Tea,Small,2,2.0,4.0,Debit Card,C599,0,University,EMP003
27,2025-04-18,11:31:06,P202,Chai Latte,Tea,Large,3,4.0,12.0,Cash,NA,8,Mall Branch,EMP005
28,2024-11-09,17:07:33,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,C245,0,University,EMP003
29,2025-01-21,11:12:42,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Credit Card,C970,5,Downtown,EMP005
30,2025-02-27,12:20:21,P201,Green Tea,Tea,Small,2,2.0,4.0,Cash,C798,0,Airport,EMP002
31,2025-01-15,18:27:21,P201,Green Tea,Tea,Medium,3,2.5,7.5,Credit Card,NA,0,Downtown,EMP005
32,2025-07-10,09:06:22,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Credit Card,C575,8,University,EMP005
33,2025-05-20,18:56:30,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,C814,0,University,EMP004
34,2025-07-08,19:46:25,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Cash,C262,4,Mall Branch,EMP001
35,2025-03-22,18:16:54,P302,Croissant,Bakery,NA,3,3.0,9.0,Cash,NA,0,Airport,EMP004
36,2025-06-07,12:22:34,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C877,0,Downtown,EMP005
37,2024-08-27,20:24:31,P301,Blueberry Muffin,Bakery,NA,2,2.5,5.0,Debit Card,NA,0,Airport,EMP005
38,2025-06-30,13:23:00,P302,Croissant,Bakery,NA,3,3.0,9.0,Debit Card,NA,0,Airport,EMP003
39,2024-09-03,19:18:38,P302,Croissant,Bakery,NA,3,3.0,9.0,Debit Card,C744,0,Airport,EMP004
40,2025-01-09,19:43:17,P201,Green Tea,Tea,Small,1,2.0,2.0,Cash,C826,0,Airport,EMP002
41,2024-12-26,14:37:42,P102,Cappuccino,Coffee,Large,1,4.0,4.0,Debit Card,C186,4,Airport,EMP002
42,2025-01-07,10:18:31,P202,Chai Latte,Tea,Medium,2,3.5,7.0,Debit Card,C238,0,Mall Branch,EMP001
43,2025-05-09,20:02:09,P302,Croissant,Bakery,NA,1,3.0,3.0,Cash,C164,1,Airport,EMP004
44,2025-04-22,15:03:14,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,NA,0,Mall Branch,EMP003
45,2025-02-03,10:15:18,P201,Green Tea,Tea,Medium,1,2.5,2.5,Credit Card,C712,1,Mall Branch,EMP001
46,2024-10-17,10:02:56,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Credit Card,C528,3,Downtown,EMP002
47,2024-11-25,11:36:15,P103,Latte,Coffee,Large,3,4.5,13.5,Credit Card,NA,0,Mall Branch,EMP005
48,2025-02-08,10:33:33,P103,Latte,Coffee,Large,3,4.5,13.5,Credit Card,C872,0,University,EMP003
49,2025-01-26,19:28:47,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Cash,C104,7,University,EMP005
50,2025-04-19,13:05:13,P103,Latte,Coffee,Large,2,4.5,9.0,Cash,C834,0,University,EMP004
51,2025-02-22,16:59:22,P201,Green Tea,Tea,Small,3,2.0,6.0,Cash,NA,9,Mall Branch,EMP002
52,2025-03-12,17:28:37,P201,Green Tea,Tea,Small,2,2.0,4.0,Debit Card,C407,7,Downtown,EMP004
53,2024-10-16,17:01:04,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Credit Card,C240,1,Mall Branch,EMP002
54,2024-10-16,11:25:51,P103,Latte,Coffee,Medium,1,3.5,3.5,Debit Card,C882,7,Mall Branch,EMP004
55,2025-01-31,17:07:31,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Credit Card,NA,0,University,EMP005
56,2024-12-17,11:27:57,P103,Latte,Coffee,Medium,2,3.5,7.0,Cash,C913,10,Airport,EMP003
57,2024-11-21,16:39:07,P103,Latte,Coffee,Medium,3,3.5,10.5,Debit Card,C121,0,Mall Branch,EMP002
58,2025-03-18,20:09:21,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,NA,0,University,EMP005
59,2024-11-26,20:32:40,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Cash,C387,0,Downtown,EMP005
60,2025-02-14,09:17:39,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Cash,NA,10,Mall Branch,EMP001
61,2025-04-01,13:28:22,P202,Chai Latte,Tea,Large,2,4.0,8.0,Debit Card,NA,3,University,EMP004
62,2025-05-13,12:08:15,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Credit Card,C418,0,Mall Branch,EMP002
63,2025-06-14,17:54:31,P201,Green Tea,Tea,Medium,2,2.5,5.0,Cash,NA,0,University,EMP004
64,2025-01-24,13:30:43,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C771,0,Downtown,EMP003
65,2025-01-23,13:29:43,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Credit Card,NA,9,Airport,EMP004
66,2024-09-14,16:04:15,P201,Green Tea,Tea,Small,3,2.0,6.0,Debit Card,C937,8,Mall Branch,EMP003
67,2024-09-07,14:41:23,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Debit Card,C687,0,Downtown,EMP003
68,2024-12-15,12:38:48,P103,Latte,Coffee,Medium,2,3.5,7.0,Cash,C178,0,Airport,EMP002
69,2025-03-25,13:23:49,P102,Cappuccino,Coffee,Large,1,4.0,4.0,Credit Card,NA,0,University,EMP001
70,2024-08-27,16:17:53,P103,Latte,Coffee,Large,3,4.5,13.5,Cash,C549,0,Downtown,EMP002
71,2024-12-22,11:20:17,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Cash,C944,5,Mall Branch,EMP003
72,2025-01-17,15:42:58,P201,Green Tea,Tea,Medium,2,2.5,5.0,Cash,NA,10,Airport,EMP004
73,2024-09-29,08:29:54,P202,Chai Latte,Tea,Medium,2,3.5,7.0,Credit Card,C521,0,Downtown,EMP005
74,2024-11-13,14:53:12,P103,Latte,Coffee,Large,3,4.5,13.5,Cash,C621,7,University,EMP002
75,2024-12-26,15:40:19,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C731,10,University,EMP004
76,2025-04-04,10:37:45,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Debit Card,C123,2,Mall Branch,EMP003
77,2025-07-28,12:09:21,P202,Chai Latte,Tea,Large,1,4.0,4.0,Cash,C526,7,University,EMP005
78,2025-06-13,08:39:07,P101,Espresso,Coffee,Medium,2,3.0,6.0,Debit Card,C770,0,Mall Branch,EMP005
79,2025-02-08,14:29:48,P201,Green Tea,Tea,Small,1,2.0,2.0,Cash,C817,1,Downtown,EMP005
80,2025-06-21,20:05:30,P301,Blueberry Muffin,Bakery,NA,1,2.5,2.5,Cash,NA,0,Downtown,EMP002
81,2024-10-11,19:37:35,P102,Cappuccino,Coffee,Large,3,4.0,12.0,Credit Card,C792,3,University,EMP005
82,2024-09-08,13:04:23,P302,Croissant,Bakery,NA,1,3.0,3.0,Credit Card,C687,0,Airport,EMP003
83,2025-06-23,17:44:19,P302,Croissant,Bakery,NA,3,3.0,9.0,Credit Card,C931,0,Mall Branch,EMP001
84,2025-03-08,12:04:46,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,NA,0,Airport,EMP001
85,2025-04-08,16:11:38,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Credit Card,C489,7,Downtown,EMP002
86,2024-09-15,19:27:19,P301,Blueberry Muffin,Bakery,NA,2,2.5,5.0,Debit Card,C257,2,Airport,EMP002
87,2024-12-19,14:49:30,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,NA,0,University,EMP003
88,2025-03-29,15:29:41,P101,Espresso,Coffee,Medium,1,3.0,3.0,Cash,C212,7,Mall Branch,EMP005
89,2025-06-28,20:44:47,P102,Cappuccino,Coffee,Medium,3,3.5,10.5,Credit Card,C330,7,Downtown,EMP002
90,2024-09-05,14:43:07,P103,Latte,Coffee,Medium,3,3.5,10.5,Debit Card,NA,1,Mall Branch,EMP001
91,2025-08-04,19:48:13,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Debit Card,NA,0,University,EMP004
92,2025-03-13,12:49:51,P103,Latte,Coffee,Large,1,4.5,4.5,Cash,NA,7,University,EMP002
93,2024-10-04,12:56:17,P201,Green Tea,Tea,Medium,2,2.5,5.0,Credit Card,C493,0,Downtown,EMP002
94,2024-09-26,10:14:37,P302,Croissant,Bakery,NA,2,3.0,6.0,Cash,C917,0,Mall Branch,EMP004
95,2024-12-14,16:26:17,P101,Espresso,Coffee,Medium,1,3.0,3.0,Credit Card,NA,0,Mall Branch,EMP002
96,2025-07-22,14:52:09,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,NA,6,University,EMP003
97,2024-09-20,20:31:03,P102,Cappuccino,Coffee,Medium,2,3.5,7.0,Credit Card,NA,9,Mall Branch,EMP003
98,2025-04-12,12:37:10,P201,Green Tea,Tea,Medium,2,2.5,5.0,Credit Card,NA,0,University,EMP005
99,2024-09-28,18:57:24,P102,Cappuccino,Coffee,Medium,3,3.5,10.5,Cash,C710,0,Mall Branch,EMP001
100,2025-07-05,17:01:31,P201,Green Tea,Tea,Medium,3,2.5,7.5,Cash,C813,1,University,EMP004
101,2024-11-08,16:28:08,P103,Latte,Coffee,Medium,3,3.5,10.5,Credit Card,C272,0,Downtown,EMP003
102,2024-10-30,15:00:45,P302,Croissant,Bakery,NA,2,3.0,6.0,Credit Card,C286,5,Airport,EMP002
103,2025-04-17,08:37:11,P103,Latte,Coffee,Medium,1,3.5,3.5,Credit Card,NA,0,University,EMP005
104,2024-09-20,15:13:09,P103,Latte,Coffee,Medium,1,3.5,3.5,Debit Card,C759,10,Airport,EMP003
105,2025-04-26,19:53:15,P103,Latte,Coffee,Medium,2,3.5,7.0,Debit Card,C328,0,Airport,EMP003
106,2025-04-19,13:55:41,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Debit Card,C795,0,University,EMP005
107,2024-09-24,20:39:05,P101,Espresso,Coffee,Small,1,2.5,2.5,Debit Card,C623,0,Downtown,EMP005
108,2025-03-20,11:12:51,P103,Latte,Coffee,Large,1,4.5,4.5,Cash,NA,6,Downtown,EMP003
109,2025-01-22,12:42:41,P302,Croissant,Bakery,NA,2,3.0,6.0,Debit Card,NA,1,Mall Branch,EMP001
110,2025-07-24,19:08:25,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C664,0,Airport,EMP004
111,2024-11-15,11:14:53,P201,Green Tea,Tea,Small,3,2.0,6.0,Debit Card,C492,5,University,EMP004
112,2025-06-12,19:11:51,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Credit Card,NA,2,University,EMP003
113,2024-10-15,10:59:01,P202,Chai Latte,Tea,Large,3,4.0,12.0,Cash,C473,8,Mall Branch,EMP005
114,2024-09-01,11:49:25,P101,Espresso,Coffee,Small,1,2.5,2.5,Debit Card,C127,8,Downtown,EMP002
115,2024-09-03,09:15:15,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C595,9,Downtown,EMP005
116,2024-10-23,20:49:43,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,NA,0,Mall Branch,EMP002
117,2024-12-11,15:23:33,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C762,3,Airport,EMP005
118,2024-11-13,20:25:16,P302,Croissant,Bakery,NA,2,3.0,6.0,Credit Card,C241,0,Downtown,EMP002
119,2025-06-30,19:12:59,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C787,9,Mall Branch,EMP003
120,2025-06-03,09:34:02,P103,Latte,Coffee,Medium,1,3.5,3.5,Credit Card,C999,5,Mall Branch,EMP003
121,2025-04-16,08:18:09,P101,Espresso,Coffee,Medium,3,3.0,9.0,Debit Card,C989,9,Airport,EMP003
122,2025-02-27,11:45:04,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,C682,4,University,EMP005
123,2025-01-13,18:26:18,P201,Green Tea,Tea,Small,3,2.0,6.0,Credit Card,C534,10,University,EMP001
124,2025-05-24,17:11:56,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C788,0,Downtown,EMP003
125,2025-07-06,09:04:53,P202,Chai Latte,Tea,Large,3,4.0,12.0,Debit Card,C529,3,Mall Branch,EMP004
126,2025-04-13,11:11:31,P302,Croissant,Bakery,NA,3,3.0,9.0,Cash,NA,0,Mall Branch,EMP004
127,2025-01-12,13:50:54,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Credit Card,C891,0,Downtown,EMP003
128,2025-06-26,13:48:09,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Cash,C719,10,Mall Branch,EMP004
129,2025-01-02,16:34:00,P201,Green Tea,Tea,Small,3,2.0,6.0,Debit Card,C367,0,Airport,EMP001
130,2024-11-20,12:08:08,P201,Green Tea,Tea,Medium,1,2.5,2.5,Debit Card,NA,4,Airport,EMP004
131,2025-08-04,12:57:46,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,NA,10,University,EMP001
132,2024-09-02,13:20:33,P201,Green Tea,Tea,Small,3,2.0,6.0,Cash,C948,7,Mall Branch,EMP001
133,2025-04-24,17:56:25,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Debit Card,C957,9,Airport,EMP005
134,2024-12-04,18:35:20,P202,Chai Latte,Tea,Medium,2,3.5,7.0,Cash,C184,0,Mall Branch,EMP003
135,2025-01-31,19:51:06,P202,Chai Latte,Tea,Large,3,4.0,12.0,Debit Card,C675,0,Mall Branch,EMP003
136,2024-10-28,12:27:06,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C148,9,Downtown,EMP004
137,2025-05-10,14:16:53,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Cash,C906,3,University,EMP003
138,2025-06-20,16:25:19,P101,Espresso,Coffee,Small,3,2.5,7.5,Cash,C272,10,Downtown,EMP004
139,2024-12-31,13:14:40,P201,Green Tea,Tea,Medium,2,2.5,5.0,Credit Card,C625,7,Downtown,EMP003
140,2025-07-28,09:39:08,P102,Cappuccino,Coffee,Large,2,4.0,8.0,Debit Card,C242,7,University,EMP002
141,2024-12-02,12:38:17,P101,Espresso,Coffee,Medium,1,3.0,3.0,Debit Card,C529,0,Downtown,EMP005
142,2024-09-17,17:43:03,P103,Latte,Coffee,Large,3,4.5,13.5,Credit Card,C843,0,Downtown,EMP005
143,2025-03-11,13:30:02,P302,Croissant,Bakery,NA,2,3.0,6.0,Credit Card,C758,0,Mall Branch,EMP001
144,2025-06-17,13:13:24,P302,Croissant,Bakery,NA,2,3.0,6.0,Cash,C561,7,Downtown,EMP005
145,2025-01-08,09:45:31,P201,Green Tea,Tea,Medium,3,2.5,7.5,Cash,C106,8,University,EMP001
146,2025-01-02,12:26:19,P302,Croissant,Bakery,NA,1,3.0,3.0,Debit Card,C368,8,Airport,EMP002
147,2024-11-23,16:19:02,P201,Green Tea,Tea,Small,1,2.0,2.0,Credit Card,NA,0,Airport,EMP005
148,2025-03-07,16:48:42,P102,Cappuccino,Coffee,Small,2,3.0,6.0,Credit Card,NA,0,Airport,EMP005
149,2024-10-02,17:56:00,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,C405,5,Downtown,EMP005
150,2025-01-11,20:13:41,P103,Latte,Coffee,Medium,3,3.5,10.5,Debit Card,C888,0,Mall Branch,EMP002
151,2025-03-23,10:41:26,P301,Blueberry Muffin,Bakery,NA,3,2.5,7.5,Cash,NA,0,Airport,EMP001
152,2024-09-29,13:54:38,P301,Blueberry Muffin,Bakery,NA,2,2.5,5.0,Debit Card,NA,0,Mall Branch,EMP003
