transaction_id,transaction_date,transaction_time,product_id,product_name,product_category,size,quantity,unit_price,total_price,payment_method,customer_id,loyalty_points_earned,location,barista_id,new_transaction_id
1,2025-03-13,10:10:19,P302,Croissant,Bakery,,1,3.0,3.0,Debit Card,C624,6,Airport,EMP001,861
2,2024-09-26,13:13:41,P302,Croissant,Bakery,,1,3.0,3.0,Credit Card,C549,6,University,EMP001,1295
3,2025-03-23,16:17:20,P302,Croissant,Bakery,,2,3.0,6.0,Cash,C857,0,Airport,EMP002,1131
4,2025-05-28,16:31:54,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C402,8,Downtown,EMP004,1096
5,2025-01-16,19:17:24,P302,Croissant,Bakery,,3,3.0,9.0,Credit Card,,0,Mall Branch,EMP002,1639
6,2025-01-02,10:48:16,P101,Espresso,Coffee,Small,1,2.5,2.5,Debit Card,C511,3,Airport,EMP002,2170
7,2024-09-16,20:51:57,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,,7,Mall Branch,EMP003,467
8,2024-11-19,14:17:27,P103,Latte,Coffee,Medium,3,3.5,10.5,Cash,C944,2,University,EMP001,1239
9,2024-11-17,18:05:45,P201,Green Tea,Tea,Medium,3,2.5,7.5,Credit Card,C502,7,University,EMP002,331
10,2025-04-09,10:34:23,P302,Croissant,Bakery,,3,3.0,9.0,Credit Card,,9,Airport,EMP005,1483
11,2024-12-21,20:42:07,P102,Cappuccino,Coffee,Large,2,4.0,8.0,Debit Card,C656,3,Airport,EMP002,2136
12,2024-11-24,16:21:41,P302,Croissant,Bakery,,3,3.0,9.0,Credit Card,C789,5,Downtown,EMP002,131
13,2025-05-14,12:48:39,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C516,9,Downtown,EMP001,1686
14,2024-10-17,19:22:30,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,C652,3,Mall Branch,EMP002,770
15,2025-02-11,18:53:16,P102,Cappuccino,Coffee,Small,2,3.0,6.0,Credit Card,,6,Mall Branch,EMP001,2392
16,2025-05-08,12:16:37,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Credit Card,C547,5,Mall Branch,EMP004,1516
17,2025-03-13,15:36:19,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C590,10,Mall Branch,EMP005,2434
18,2024-09-11,15:27:29,P202,Chai Latte,Tea,Large,1,4.0,4.0,Credit Card,C720,0,Mall Branch,EMP002,1216
19,2025-07-30,20:25:29,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C567,4,Mall Branch,EMP003,956
20,2024-12-15,09:20:34,P101,Espresso,Coffee,Small,2,2.5,5.0,Cash,C290,6,Mall Branch,EMP005,2325
21,2025-03-22,17:21:46,P202,Chai Latte,Tea,Large,3,4.0,12.0,Debit Card,C784,1,Mall Branch,EMP004,1185
22,2024-11-30,17:47:16,P302,Croissant,Bakery,,2,3.0,6.0,Debit Card,C930,0,Airport,EMP003,460
23,2025-07-01,15:19:31,P201,Green Tea,Tea,Small,3,2.0,6.0,Cash,,0,Downtown,EMP003,22
24,2025-05-18,08:56:02,P302,Croissant,Bakery,,1,3.0,3.0,Credit Card,,1,University,EMP005,2301
25,2025-04-16,10:23:11,P201,Green Tea,Tea,Medium,2,2.5,5.0,Cash,C156,10,Airport,EMP002,748
26,2025-04-14,13:52:03,P201,Green Tea,Tea,Small,2,2.0,4.0,Debit Card,C599,0,University,EMP003,475
27,2025-04-18,11:31:06,P202,Chai Latte,Tea,Large,3,4.0,12.0,Cash,,8,Mall Branch,EMP005,1083
28,2024-11-09,17:07:33,P103,Latte,Coffee,Large,1,4.5,4.5,Debit Card,C245,0,University,EMP003,2048
29,2025-01-21,11:12:42,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Credit Card,C970,5,Downtown,EMP005,976
30,2025-02-27,12:20:21,P201,Green Tea,Tea,Small,2,2.0,4.0,Cash,C798,0,Airport,EMP002,1807
31,2025-01-15,18:27:21,P201,Green Tea,Tea,Medium,3,2.5,7.5,Credit Card,,0,Downtown,EMP005,190
32,2025-07-10,09:06:22,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Credit Card,C575,8,University,EMP005,563
33,2025-05-20,18:56:30,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,C814,0,University,EMP004,1900
34,2025-07-08,19:46:25,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Cash,C262,4,Mall Branch,EMP001,1268
35,2025-03-22,18:16:54,P302,Croissant,Bakery,,3,3.0,9.0,Cash,,0,Airport,EMP004,1529
36,2025-06-07,12:22:34,P201,Green Tea,Tea,Small,2,2.0,4.0,Credit Card,C877,0,Downtown,EMP005,647
37,2024-08-27,20:24:31,P301,Blueberry Muffin,Bakery,,2,2.5,5.0,Debit Card,,0,Airport,EMP005,2069
38,2025-06-30,13:23:00,P302,Croissant,Bakery,,3,3.0,9.0,Debit Card,,0,Airport,EMP003,2215
39,2024-09-03,19:18:38,P302,Croissant,Bakery,,3,3.0,9.0,Debit Card,C744,0,Airport,EMP004,1298
40,2025-01-09,19:43:17,P201,Green Tea,Tea,Small,1,2.0,2.0,Cash,C826,0,Airport,EMP002,2436
41,2024-12-26,14:37:42,P102,Cappuccino,Coffee,Large,1,4.0,4.0,Debit Card,C186,4,Airport,EMP002,601
42,2025-01-07,10:18:31,P202,Chai Latte,Tea,Medium,2,3.5,7.0,Debit Card,C238,0,Mall Branch,EMP001,2364
43,2025-05-09,20:02:09,P302,Croissant,Bakery,,1,3.0,3.0,Cash,C164,1,Airport,EMP004,2062
44,2025-04-22,15:03:14,P202,Chai Latte,Tea,Large,3,4.0,12.0,Credit Card,,0,Mall Branch,EMP003,242
45,2025-02-03,10:15:18,P201,Green Tea,Tea,Medium,1,2.5,2.5,Credit Card,C712,1,Mall Branch,EMP001,2042
46,2024-10-17,10:02:56,P202,Chai Latte,Tea,Medium,1,3.5,3.5,Credit Card,C528,3,Downtown,EMP002,1364
47,2024-11-25,11:36:15,P103,Latte,Coffee,Large,3,4.5,13.5,Credit Card,,0,Mall Branch,EMP005,2140
48,2025-02-08,10:33:33,P103,Latte,Coffee,Large,3,4.5,13.5,Credit Card,C872,0,University,EMP003,1391
49,2025-01-26,19:28:47,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Cash,C104,7,University,EMP005,1479
50,2025-04-19,13:05:13,P103,Latte,Coffee,Large,2,4.5,9.0,Cash,C834,0,University,EMP004,776
51,2025-02-22,16:59:22,P201,Green Tea,Tea,Small,3,2.0,6.0,Cash,,9,Mall Branch,EMP002,35
52,2025-03-12,17:28:37,P201,Green Tea,Tea,Small,2,2.0,4.0,Debit Card,C407,7,Downtown,EMP004,2254
53,2024-10-16,17:01:04,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Credit Card,C240,1,Mall Branch,EMP002,1956
54,2024-10-16,11:25:51,P103,Latte,Coffee,Medium,1,3.5,3.5,Debit Card,C882,7,Mall Branch,EMP004,1586
55,2025-01-31,17:07:31,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Credit Card,,0,University,EMP005,1022
56,2024-12-17,11:27:57,P103,Latte,Coffee,Medium,2,3.5,7.0,Cash,C913,10,Airport,EMP003,1130
57,2024-11-21,16:39:07,P103,Latte,Coffee,Medium,3,3.5,10.5,Debit Card,C121,0,Mall Branch,EMP002,1501
58,2025-03-18,20:09:21,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Cash,,0,University,EMP005,703
59,2024-11-26,20:32:40,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Cash,C387,0,Downtown,EMP005,2450
60,2025-02-14,09:17:39,P301,Blueberry Muffin,Bakery,,1,2.5,2.5,Cash,,10,Mall Branch,EMP001,1580
61,2025-04-01,13:28:22,P202,Chai Latte,Tea,Large,2,4.0,8.0,Debit Card,,3,University,EMP004,162
62,2025-05-13,12:08:15,P301,Blueberry Muffin,Bakery,,3,2.5,7.5,Credit Card,C418,0,Mall Branch,EMP002,202
63,2025-06-14,17:54:31,P201,Green Tea,Tea,Medium,2,2.5,5.0,Cash,,0,University,EMP004,1982
64,2025-01-24,13:30:43,P201,Green Tea,Tea,Medium,2,2.5,5.0,Debit Card,C771,0,Downtown,EMP003,996
65,2025-01-23,13:29:43,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Credit Card,,9,Airport,EMP004,2318
66,2024-09-14,16:04:15,P201,Green Tea,Tea,Small,3,2.0,6.0,Debit Card,C937,8,Mall Branch,EMP003,816
67,2024-09-07,14:41:23,P102,Cappuccino,Coffee,Medium,1,3.5,3.5,Debit Card,C687,0,Downtown,EMP003,456
68,2024-12-15,12:38:48,P103,Latte,Coffee,Medium,2,3.5,7.0,Cash,C178,0,Airport,EMP002,1276
69,2025-03-25,13:23:49,P102,Cappuccino,Coffee,Large,1,4.0,4.0,Credit Card,,0,University,EMP001,1017
70,2024-08-27,16:17:53,P103,Latte,Coffee,Large,3,4.5,13.5,Cash,C549,0,Downtown,EMP002,2344
71,2024-12-22,11:20:17,P202,Chai Latte,Tea,Medium,3,3.5,10.5,Cash,C944,5,Mall Branch,EMP003,338
72,2025-01-17,15:42:58,P201,Green Tea,Tea,Medium,2,2.5,5.0,Cash,,10,Airport,EMP004,879
73,2024-09-29,08:29:54,P202,Chai Latte,Tea,Medium,2,3.5,7.0,Credit Card,C521,0,Downtown,EMP005,1077
74,2024-11-13,14:53:12,P103,Latte,Coffee,Large,3,4.5,13.5,Cash,C621,7,University,EMP002,792
75,2024-12-26,15:40:19,P201,Green Tea,Tea,Small,1,2.0,2.0,Debit Card,C731,10,University,EMP004,2265
76,2025-04-04,10:37:45,P102,Cappuccino,Coffee,Small,1,3.0,3.0,Debit Card,C123,2,Mall Branch,EMP003,764
77,2025-07-28,12:09:21,P202,Chai Latte,Tea,Large,1,4.0,4.0,Cash,C526,7,University,EMP005,2236
